Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"5","1","2014-05-13 23:58:30","9","988","<machine-learning>","1",""
"7","1","2014-05-14 00:11:06","4","522","<education><open-source>","3",""
"56014","1","2019-07-19 14:31:04","0","3988","<machine-learning><nlp><spacy>","1",""
"56016","1","2019-07-19 14:52:35","1","233","<python><data><data-analysis><interpolation>","0",""
"56017","1","2019-07-19 14:58:50","-1","38","<data>","1",""
"44354","1","2019-01-22 03:53:05","8","6541","<xgboost>","3",""
"44358","1","2019-01-22 06:08:57","0","101","<deep-learning><prediction><social-network-analysis><reference-request>","1",""
"44359","1","2019-01-22 06:15:18","1","91","<machine-learning><scikit-learn><clustering>","1",""
"44360","1","2019-01-22 06:16:05","2","1386","<python><neural-network><keras><regression><lstm>","1",""
"44367","1","2019-01-22 08:40:40","1","335","<deep-learning><image-classification>","2",""
"44369","1","2019-01-22 10:36:39","1","41","<reinforcement-learning><q-learning><dqn><deep-learning>","0",""
"44374","1","2019-01-22 12:55:40","0","922","<python><keras><pyspark>","1",""
"44377","1","2019-01-22 13:33:58","0","65","<career>","2",""
"44379","1","2019-01-22 13:57:34","1","166","<machine-learning><neural-network><embeddings>","1",""
"44383","1","2019-01-22 15:11:11","1","1066","<machine-learning><python><classification><nltk>","3",""
"44387","1","2019-01-22 17:37:07","5","4685","<machine-learning><python><scikit-learn><pandas><data-science-model>","3",""
"44389","1","2019-01-22 18:09:20","1","298","<machine-learning><data-mining>","4",""
"44391","1","2019-01-22 18:45:21","3","1278","<python><keras><convolutional-neural-network>","1",""
"44392","1","2019-01-22 18:49:49","3","399","<machine-learning><predictive-modeling><prediction>","2",""
"44402","1","2019-01-22 23:37:54","1","507","<machine-learning><neural-network><training><gradient-descent><perceptron>","1",""
"44406","1","2019-01-23 02:04:39","2","1803","<word2vec><word-embeddings>","1",""
"44409","1","2019-01-23 03:57:26","1","70","<machine-learning><data-mining><visualization><data-analysis>","1",""
"44414","1","2019-01-23 07:15:53","0","269","<keras><cnn><transfer-learning>","1",""
